Title,Authors,FirstAuthor,FirstAuthorAffiliation,LastAuthor,LastAuthorAffiliation,LastAuthorEmail,LastAuthorHindex,Abstract,Journal,PublicationDate,Grant
Improving Direct-to-Consumer Medical Testing.,"['Gronowski, Ann M', 'Haymond, Shannon', 'Master, Stephen R']","Gronowski, Ann M",Washington University in St. Louis,"Master, Stephen R",Weill Cornell Medical College,,22,,JAMA,2017 Oct 24,
Excretion of the Herbicide Glyphosate in Older Adults Between 1993 and 2016.,"['Mills, Paul J', 'Kania-Korwel, Izabela', 'Fagan, John', 'McEvoy, Linda K', 'Laughlin, Gail A', 'Barrett-Connor, Elizabeth']","Mills, Paul J","University of California, San Diego, School of Medicine","Barrett-Connor, Elizabeth","University of California, San Diego",,144,,JAMA,2017 Oct 24,"['R01 AA021187/AA/NIAAA NIH HHS/United States', 'R01 AG028507/AG/NIA NIH HHS/United States', 'R01 AG007181/AG/NIA NIH HHS/United States', 'R01 DK031801/DK/NIDDK NIH HHS/United States']"
"Treatment of the Opium Neurosis: By Stephen Lett, M.D., Ont., Canada.",,,,,,,,,JAMA,2017 Oct 24,
Long-term Care: Investing in Models That Work.,"['Mason, Diana J']","Mason, Diana J",George Washington University,"Mason, Diana J",George Washington University,,10,,JAMA,2017 Oct 24,
New Data on Suicide Risk Among Military Veterans.,"['Lyon, Jeff']","Lyon, Jeff",Walter Reed Army Institute of Research,"Lyon, Jeff",Walter Reed Army Institute of Research,,30,,JAMA,2017 Oct 24,
Federal Task Force to Address Pain Management.,"['Lyon, Jeff']","Lyon, Jeff",Walter Reed Army Institute of Research,"Lyon, Jeff",Walter Reed Army Institute of Research,,30,,JAMA,2017 Oct 24,
"NIH Funds ""Tissue Chip"" Models for Drug Screening.","['Lyon, Jeff']","Lyon, Jeff",Walter Reed Army Institute of Research,"Lyon, Jeff",Walter Reed Army Institute of Research,,30,,JAMA,2017 Oct 24,
Bayesian Analysis: Using Prior Information to Interpret the Results of Clinical Trials.,"['Quintana, Melanie', 'Viele, Kert', 'Lewis, Roger J']","Quintana, Melanie",Berry Consultants,"Lewis, Roger J",Harbor-UCLA Medical Center,,42,,JAMA,2017 Oct 24,
Prehospital Blood Transfusion for Combat Casualties.,"['Elster, Eric A', 'Bailey, Jeffrey']","Elster, Eric A",Walter Reed National Military Medical Center,"Bailey, Jeffrey",University of Massachusetts Medical School,,25,,JAMA,2017 Oct 24,
Robotic-Assisted Surgery: Balancing Evidence and Implementation.,"['Wright, Jason D']","Wright, Jason D","Columbia University, College of Physicians and Surgeons","Wright, Jason D","Columbia University, College of Physicians and Surgeons",,42,,JAMA,2017 Oct 24,
Incorrect Dosage Information in Table.,,,,,,,,,JAMA,2017 Oct 24,
Clinical Management of Insomnia Disorder.,"['Buysse, Daniel J', 'Rush, A John', 'Reynolds, Charles F 3rd']","Buysse, Daniel J",University of Pittsburgh School of Medicine,"Reynolds, Charles F 3rd",,,,,JAMA,2017 Nov 28,"['P60 MD000207/MD/NIMHD NIH HHS/United States', 'P30 MH090333/MH/NIMH NIH HHS/United States', 'UL1 RR024153/RR/NCRR NIH HHS/United States', 'UL1 TR000005/TR/NCATS NIH HHS/United States']"
"Data Error, Missing Sentence, and Misnumbered References.",,,,,,,,,JAMA,2017 Nov 21,
Death by Gun Violence-A Public Health Crisis.,"['Bauchner, Howard', 'Rivara, Frederick P', 'Bonow, Robert O', 'Bressler, Neil M', 'Disis, Mary L Nora', 'Heckers, Stephan', 'Josephson, S Andrew', 'Kibbe, Melina R', 'Piccirillo, Jay F', 'Redberg, Rita F', 'Rhee, John S', 'Robinson, June K']","Bauchner, Howard",Journal of American Medical Association,"Robinson, June K",Northwestern University Feinberg School of Medicine,,39,,JAMA,2017 Nov 14,
The Las Vegas Shootings-Underscoring Key Features of the Firearm Epidemic.,"['Shultz, James M', 'Thoresen, Siri', 'Galea, Sandro']","Shultz, James M",University of Miami Leonard M. Miller School of Medicine,"Galea, Sandro",Boston University School of Public Health,,74,,JAMA,2017 Nov 14,
Knowledge for Precision Medicine: Mechanistic Reasoning and Methodological Pluralism.,"['Tonelli, Mark R', 'Shirts, Brian H']","Tonelli, Mark R","University of Washington, Seattle","Shirts, Brian H","University of Washington, Seattle",,19,,JAMA,2017 Nov 7,"['R21 HG008513/HG/NHGRI NIH HHS/United States', 'P30 CA015704/CA/NCI NIH HHS/United States']"
An HIV Vaccine Is Essential for Ending the HIV/AIDS Pandemic.,"['Fauci, Anthony S']","Fauci, Anthony S",National Institute of Allergy and Infectious Diseases,"Fauci, Anthony S",National Institute of Allergy and Infectious Diseases,,168,,JAMA,2017 Oct 24,
Potential Health Implications Related to Fracking.,"['Wilke, Russell A', 'Freeman, Jerome W']","Wilke, Russell A",University of South Dakota,"Freeman, Jerome W",University of South Dakota,,4,,JAMA,2017 Nov 7,['U01 HG007253/HG/NHGRI NIH HHS/United States']
Bioethics Panels Open Door Slightly to Germline Gene Editing.,"['Lyon, Jeff']","Lyon, Jeff",Walter Reed Army Institute of Research,"Lyon, Jeff",Walter Reed Army Institute of Research,,30,,JAMA,2017 Nov 7,
Cybersecurity Concerns and Medical Devices: Lessons From a Pacemaker Advisory.,"['Kramer, Daniel B', 'Fu, Kevin']","Kramer, Daniel B",Beth Israel Deaconess Medical Center,"Fu, Kevin","University of Michigan, Ann Arbor",,21,,JAMA,2017 Dec 5,
Global Budgets for Safety-Net Hospitals.,"['Sharfstein, Joshua M', 'Gerovich, Sule', 'Chin, David']","Sharfstein, Joshua M",Johns Hopkins Bloomberg School of Public Health,"Chin, David",PHOTONICS BRETAGNE,,18,,JAMA,2017 Nov 14,
Corruption Poses Critical Challenge to Global Health Efforts.,"['Friedrich, M J']","Friedrich, M J",,"Friedrich, M J",,,13,,JAMA,2017 Oct 17,
Mental Health Burden Increasing in Eastern Mediterranean Region.,"['Friedrich, M J']","Friedrich, M J",,"Friedrich, M J",,,13,,JAMA,2017 Oct 17,
Adverse Outcomes of Reducing Foreign Aid for HIV Programs.,"['Friedrich, M J']","Friedrich, M J",,"Friedrich, M J",,,13,,JAMA,2017 Oct 17,
Better.,"['Gregg, Jessica']","Gregg, Jessica",Oregon Health and Science University,"Gregg, Jessica",Oregon Health and Science University,,12,,JAMA,2017 Oct 17,
Risks of Codeine and Tramadol in Children.,"['Jin, Jill']","Jin, Jill",Northwestern University Feinberg School of Medicine,"Jin, Jill",Northwestern University Feinberg School of Medicine,,4,,JAMA,2017 Oct 17,
Association of Blood Transfusion From Female Donors With and Without a History of Pregnancy With Mortality Among Male and Female Transfusion Recipients.,"['Caram-Deelder, Camila', 'Kreuger, Aukje L', 'Evers, Dorothea', 'de Vooght, Karen M K', 'van de Kerkhof, Daan', 'Visser, Otto', 'Pequeriaux, Nathalie C V', 'Hudig, Francisca', 'Zwaginga, Jaap Jan', 'van der Bom, Johanna G', 'Middelburg, Rutger A']","Caram-Deelder, Camila",Sanquin Research,"Middelburg, Rutger A",Sanquin Research,,15,"Importance: Transfusion of red blood cells from female donors has been associated with increased mortality in male recipients. Objective: To quantify the association between red blood cell transfusion from female donors with and without a history of pregnancy and mortality of red blood cell recipients. Design, Setting, and Participants: Retrospective cohort study of first-time transfusion recipients at 6 major Dutch hospitals enrolled from May 30, 2005, to September 1, 2015; the final follow-up date was September 1, 2015. The primary analysis was the no-donor-mixture cohort (ie, either all red blood cell transfusions exclusively from male donors, or all exclusively from female donors without a history of pregnancy, or all exclusively from female donors with a history of pregnancy). The association between mortality and exposure to transfusions from ever-pregnant or never-pregnant female donors was analyzed using life tables and time-varying Cox proportional hazards models. Exposures: Red blood cell transfusions from ever-pregnant or never-pregnant female donors, compared with red blood cell transfusions from male donors. Main Outcomes and Measures: All-cause mortality during follow-up. Results: The cohort for the primary analyses consisted of 31118 patients (median age, 65 [interquartile range, 42-77] years; 52% female) who received 59320 red blood cell transfusions exclusively from 1 of 3 types of donors (88% male; 6% ever-pregnant female; and 6% never-pregnant female). The number of deaths in this cohort was 3969 (13% mortality). For male recipients of red blood cell transfusions, all-cause mortality rates after a red blood cell transfusion from an ever-pregnant female donor vs male donor were 101 vs 80 deaths per 1000 person-years (time-dependent ""per transfusion"" hazard ratio [HR] for death, 1.13 [95% CI, 1.01-1.26]). For receipt of transfusion from a never-pregnant female donor vs male donor, mortality rates were 78 vs 80 deaths per 1000 person-years (HR, 0.93 [95% CI, 0.81-1.06]). Among female recipients of red blood cell transfusions, mortality rates for an ever-pregnant female donor vs male donor were 74 vs 62 per 1000 person-years (HR, 0.99 [95% CI, 0.87 to 1.13]); for a never-pregnant female donor vs male donor, mortality rates were 74 vs 62 per 1000 person-years (HR, 1.01 [95% CI, 0.88-1.15]). Conclusions and Relevance: Among patients who received red blood cell transfusions, receipt of a transfusion from an ever-pregnant female donor, compared with a male donor, was associated with increased all-cause mortality among male recipients but not among female recipients. Transfusions from never-pregnant female donors were not associated with increased mortality among male or female recipients. Further research is needed to replicate these findings, determine their clinical significance, and identify the underlying mechanism.",JAMA,2017 Oct 17,
Effect of Oral Semaglutide Compared With Placebo and Subcutaneous Semaglutide on Glycemic Control in Patients With Type 2 Diabetes: A Randomized Clinical Trial.,"['Davies, Melanie', 'Pieber, Thomas R', 'Hartoft-Nielsen, Marie-Louise', 'Hansen, Oluf K H', 'Jabbour, Serge', 'Rosenstock, Julio']","Davies, Melanie",University of Leicester,"Rosenstock, Julio",Dallas Diabetes Research Center at Medical City,,78,"Importance: Glucagon-like peptide-1 (GLP-1) receptor agonists are effective therapies for the treatment of type 2 diabetes and are all currently available as an injection. Objectives: To compare the effects of oral semaglutide with placebo (primary) and open-label subcutaneous semaglutide (secondary) on glycemic control in patients with type 2 diabetes. Design, Setting, and Patients: Phase 2, randomized, parallel-group, dosage-finding, 26-week trial with 5-week follow-up at 100 sites (hospital clinics, general practices, and clinical research centers) in 14 countries conducted between December 2013 and December 2014. Of 1106 participants assessed, 632 with type 2 diabetes and insufficient glycemic control using diet and exercise alone or a stable dose of metformin were randomized. Randomization was stratified by metformin use. Interventions: Once-daily oral semaglutide of 2.5 mg (n = 70), 5 mg (n = 70), 10 mg (n = 70), 20 mg (n = 70), 40-mg 4-week dose escalation (standard escalation; n = 71), 40-mg 8-week dose escalation (slow escalation; n = 70), 40-mg 2-week dose escalation (fast escalation, n = 70), oral placebo (n = 71; double-blind) or once-weekly subcutaneous semaglutide of 1.0 mg (n = 70) for 26 weeks. Main Outcomes and Measures: The primary end point was change in hemoglobin A1c (HbA1c) from baseline to week 26. Secondary end points included change from baseline in body weight and adverse events. Results: Baseline characteristics were comparable across treatment groups. Of the 632 randomized patients (mean age, 57.1 years [SD, 10.6]; men, 395 (62.7%); diabetes duration, 6.3 years [SD, 5.2]; body weight, 92.3 kg [SD, 16.8]; BMI, 31.7 [SD, 4.3]), 583 (92%) completed the trial. Mean change in HbA1c level from baseline to week 26 decreased with oral semaglutide (dosage-dependent range, -0.7% to -1.9%) and subcutaneous semaglutide (-1.9%) and placebo (-0.3%); oral semaglutide reductions were significant vs placebo (dosage-dependent estimated treatment difference [ETD] range for oral semaglutide vs placebo, -0.4% to -1.6%; P = .01 for 2.5 mg, <.001 for all other dosages). Reductions in body weight were greater with oral semaglutide (dosage-dependent range, -2.1 kg to -6.9 kg) and subcutaneous semaglutide (-6.4 kg) vs placebo (-1.2 kg), and significant for oral semaglutide dosages of 10 mg or more vs placebo (dosage-dependent ETD range, -0.9 to -5.7 kg; P < .001). Adverse events were reported by 63% to 86% (371 of 490 patients) in the oral semaglutide groups, 81% (56 of 69 patients) in the subcutaneous semaglutide group, and 68% (48 of 71 patients) in the placebo group; mild to moderate gastrointestinal events were most common. Conclusions and Relevance: Among patients with type 2 diabetes, oral semaglutide resulted in better glycemic control than placebo over 26 weeks. These findings support phase 3 studies to assess longer-term and clinical outcomes, as well as safety. Trial Registration: clinicaltrials.gov Identifier: NCT01923181.",JAMA,2017 Oct 17,
Acupuncture for Stress Urinary Incontinence-Reply.,"['Liu, Zhishun', 'Liu, Yan', 'Liu, Baoyan']","Liu, Zhishun",China Academy of Chinese Medical Sciences,"Liu, Baoyan",China Academy of Chinese Medical Sciences,,16,,JAMA,2017 Oct 17,
Acupuncture and Sham Acupuncture for Pain Relief-Reply.,"['Briggs, Josephine P', 'Shurtleff, David']","Briggs, Josephine P","National Institutes of Health, Bethesda","Shurtleff, David",Children's Hospital and Regional Medical Center,,29,,JAMA,2017 Oct 17,
Acupuncture for Infertility in Polycystic Ovary Syndrome-Reply.,"['Wu, Xiao-Ke', 'Stener-Victorin, Elisabet', 'Zhang, Heping']","Wu, Xiao-Ke",Heilongjiang University of Traditional Chinese Medicine,"Zhang, Heping",Neimenggu Agricultural University,,31,,JAMA,2017 Oct 17,
Acupuncture for Stress Urinary Incontinence.,"['Wang, Martin']","Wang, Martin","Sucampo Pharma Americas, LLC","Wang, Martin","Sucampo Pharma Americas, LLC",,1,,JAMA,2017 Oct 17,
Acupuncture and Sham Acupuncture for Pain Relief.,"['Marcus, Donald M']","Marcus, Donald M",Baylor College of Medicine,"Marcus, Donald M",Baylor College of Medicine,,41,,JAMA,2017 Oct 17,
Acupuncture for Infertility in Polycystic Ovary Syndrome.,"['Li, Yong Ming']","Li, Yong Ming",Liaoning University of Technology,"Li, Yong Ming",Liaoning University of Technology,,42,,JAMA,2017 Oct 17,
Acupuncture for Infertility in Polycystic Ovary Syndrome.,"['Szmelskyj, Irina', 'Szmelskyj, Alan']","Szmelskyj, Irina",Northern College of Acupuncture,"Szmelskyj, Alan",True Health Clinics,,1,,JAMA,2017 Oct 17,
Acute Zika Virus Infection as a Risk Factor for Guillain-Barre Syndrome in Puerto Rico.,"['Dirlikov, Emilio', 'Medina, Nicole A', 'Major, Chelsea G', 'Munoz-Jordan, Jorge L', 'Luciano, Carlos A', 'Rivera-Garcia, Brenda', 'Sharp, Tyler M']","Dirlikov, Emilio",Centers for Disease Control and Prevention,"Sharp, Tyler M",Centers for Disease Control and Prevention San Juan,,14,,JAMA,2017 Oct 17,
"Cursus Honorum, Or How to Get Ahead in the Medical World.",,,,,,,,,JAMA,2017 Oct 17,
Antibacterial Inhibits Resistance.,"['Voelker, Rebecca']","Voelker, Rebecca",MSJ,"Voelker, Rebecca",MSJ,,15,,JAMA,2017 Oct 17,
Remote Control Mammography.,"['Voelker, Rebecca']","Voelker, Rebecca",MSJ,"Voelker, Rebecca",MSJ,,15,,JAMA,2017 Oct 17,
Leukemia Drug Makes a Comeback.,"['Voelker, Rebecca']","Voelker, Rebecca",MSJ,"Voelker, Rebecca",MSJ,,15,,JAMA,2017 Oct 17,
Oral Hypoglycemic Agents Added to Insulin Monotherapy for Type 2 Diabetes.,"['Vos, Rimke C', 'Rutten, Guy E H M']","Vos, Rimke C",University Medical Center Utrecht,"Rutten, Guy E H M",University Medical Center Utrecht,,37,"Clinical Question: Among patients with type 2 diabetes mellitus who do not achieve optimal glycemic control with insulin monotherapy, is the addition of oral hypoglycemic agents associated with benefits (measured by lowering of hemoglobin A1c) or adverse effects? Bottom Line: Adding a sulfonylurea to insulin was associated with more hypoglycemic events compared with insulin alone, but this association was not observed for metformin. Adding a sulfonylurea or metformin to insulin was associated with a decrease in hemoglobin A1c of approximately 1.0%.",JAMA,2017 Oct 17,
Blood Transfusions From Previously Pregnant Women and Mortality: Interpreting the Evidence.,"['Cable, Ritchard G', 'Edgren, Gustaf']","Cable, Ritchard G",American Red Cross Blood Services,"Edgren, Gustaf",Karolinska Institutet,,23,,JAMA,2017 Oct 17,
Multiple Hyperpigmented Macules in a Child.,"['Maya, Yuka', 'Takashima, Shota', 'Ota, Mitsuhito']","Maya, Yuka",Chitose City Hospital,"Ota, Mitsuhito",Chitose City Hospital,,7,,JAMA,2017 Oct 17,
Virgin Islands' Zika Awareness.,,,,,,,,,JAMA,2017 Oct 10,
"As Heroin Death Rates Rose, So Did Illicit Drug Seizures.",,,,,,,,,JAMA,2017 Oct 10,
Discrimination and Calibration of Clinical Prediction Models: Users' Guides to the Medical Literature.,"['Alba, Ana Carolina', 'Agoritsas, Thomas', 'Walsh, Michael', 'Hanna, Steven', 'Iorio, Alfonso', 'Devereaux, P J', 'McGinn, Thomas', 'Guyatt, Gordon']","Alba, Ana Carolina",Toronto General Hospital,"Guyatt, Gordon",,,180,"Accurate information regarding prognosis is fundamental to optimal clinical care. The best approach to assess patient prognosis relies on prediction models that simultaneously consider a number of prognostic factors and provide an estimate of patients' absolute risk of an event. Such prediction models should be characterized by adequately discriminating between patients who will have an event and those who will not and by adequate calibration ensuring accurate prediction of absolute risk. This Users' Guide will help clinicians understand the available metrics for assessing discrimination, calibration, and the relative performance of different prediction models. This article complements existing Users' Guides that address the development and validation of prediction models. Together, these guides will help clinicians to make optimal use of existing prediction models.",JAMA,2017 Oct 10,
Global Health: What's in It for Us?,"['Gopal, Satish']","Gopal, Satish",The University of North Carolina at Chapel Hill,"Gopal, Satish",The University of North Carolina at Chapel Hill,,11,,JAMA,2017 Oct 10,"['K01 TW009488/TW/FIC NIH HHS/United States', 'R21 CA180815/CA/NCI NIH HHS/United States', 'U54 CA190152/CA/NCI NIH HHS/United States']"
Rhinoplasty.,"['Rudy, Shannon F', 'Most, Sam P']","Rudy, Shannon F",Stanford University School of Medicine,"Most, Sam P",Stanford University School of Medicine,,15,,JAMA,2017 Oct 10,
Association Between Biomarkers of Ovarian Reserve and Infertility Among Older Women of Reproductive Age.,"['Steiner, Anne Z', 'Pritchard, David', 'Stanczyk, Frank Z', 'Kesner, James S', 'Meadows, Juliana W', 'Herring, Amy H', 'Baird, Donna D']","Steiner, Anne Z",Duke University Health System,"Baird, Donna D",National Institute of Environmental Health Sciences,,61,"Importance: Despite lack of evidence of their utility, biomarkers of ovarian reserve are being promoted as potential markers of reproductive potential. Objective: To determine the associations between biomarkers of ovarian reserve and reproductive potential among women of late reproductive age. Design, Setting, and Participants: Prospective time-to-pregnancy cohort study (2008 to date of last follow-up in March 2016) of women (N = 981) aged 30 to 44 years without a history of infertility who had been trying to conceive for 3 months or less, recruited from the community in the Raleigh-Durham, North Carolina, area. Exposures: Early-follicular-phase serum level of antimullerian hormone (AMH), follicle-stimulating hormone (FSH), and inhibin B and urinary level of FSH. Main Outcomes and Measures: The primary outcomes were the cumulative probability of conception by 6 and 12 cycles of attempt and relative fecundability (probability of conception in a given menstrual cycle). Conception was defined as a positive pregnancy test result. Results: A total of 750 women (mean age, 33.3 [SD, 3.2] years; 77% white; 36% overweight or obese) provided a blood and urine sample and were included in the analysis. After adjusting for age, body mass index, race, current smoking status, and recent hormonal contraceptive use, women with low AMH values (<0.7 ng/mL [n = 84]) did not have a significantly different predicted probability of conceiving by 6 cycles of attempt (65%; 95% CI, 50%-75%) compared with women (n = 579) with normal values (62%; 95% CI, 57%-66%) or by 12 cycles of attempt (84% [95% CI, 70%-91%] vs 75% [95% CI, 70%-79%], respectively). Women with high serum FSH values (>10 mIU/mL [n = 83]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (63%; 95% CI, 50%-73%) compared with women (n = 654) with normal values (62%; 95% CI, 57%-66%) or after 12 cycles of attempt (82% [95% CI, 70%-89%] vs 75% [95% CI, 70%-78%], respectively). Women with high urinary FSH values (>11.5 mIU/mg creatinine [n = 69]) did not have a significantly different predicted probability of conceiving after 6 cycles of attempt (61%; 95% CI, 46%-74%) compared with women (n = 660) with normal values (62%; 95% CI, 58%-66%) or after 12 cycles of attempt (70% [95% CI, 54%-80%] vs 76% [95% CI, 72%-80%], respectively). Inhibin B levels (n = 737) were not associated with the probability of conceiving in a given cycle (hazard ratio per 1-pg/mL increase, 0.999; 95% CI, 0.997-1.001). Conclusions and Relevance: Among women aged 30 to 44 years without a history of infertility who had been trying to conceive for 3 months or less, biomarkers indicating diminished ovarian reserve compared with normal ovarian reserve were not associated with reduced fertility. These findings do not support the use of urinary or blood follicle-stimulating hormone tests or antimullerian hormone levels to assess natural fertility for women with these characteristics.",JAMA,2017 Oct 10,"['CC999999/Intramural CDC HHS/United States', 'R01 HD067683/HD/NICHD NIH HHS/United States', 'R21 HD060229/HD/NICHD NIH HHS/United States']"
"Association of Insulin Pump Therapy vs Insulin Injection Therapy With Severe Hypoglycemia, Ketoacidosis, and Glycemic Control Among Children, Adolescents, and Young Adults With Type 1 Diabetes.","['Karges, Beate', 'Schwandt, Anke', 'Heidtmann, Bettina', 'Kordonouri, Olga', 'Binder, Elisabeth', 'Schierloh, Ulrike', 'Boettcher, Claudia', 'Kapellen, Thomas', 'Rosenbauer, Joachim', 'Holl, Reinhard W']","Karges, Beate",German Center for Diabetes Research (DZD),"Holl, Reinhard W",Universitat Ulm,,51,"Importance: Insulin pump therapy may improve metabolic control in young patients with type 1 diabetes, but the association with short-term diabetes complications is unclear. Objective: To determine whether rates of severe hypoglycemia and diabetic ketoacidosis are lower with insulin pump therapy compared with insulin injection therapy in children, adolescents, and young adults with type 1 diabetes. Design, Setting, and Participants: Population-based cohort study conducted between January 2011 and December 2015 in 446 diabetes centers participating in the Diabetes Prospective Follow-up Initiative in Germany, Austria, and Luxembourg. Patients with type 1 diabetes younger than 20 years and diabetes duration of more than 1 year were identified. Propensity score matching and inverse probability of treatment weighting analyses with age, sex, diabetes duration, migration background (defined as place of birth outside of Germany or Austria), body mass index, and glycated hemoglobin as covariates were used to account for relevant confounders. Exposures: Type 1 diabetes treated with insulin pump therapy or with multiple (>/=4) daily insulin injections. Main Outcomes and Measures: Primary outcomes were rates of severe hypoglycemia and diabetic ketoacidosis during the most recent treatment year. Secondary outcomes included glycated hemoglobin levels, insulin dose, and body mass index. Results: Of 30579 patients (mean age, 14.1 years [SD, 4.0]; 53% male), 14119 used pump therapy (median duration, 3.7 years) and 16460 used insulin injections (median duration, 3.6 years). Patients using pump therapy (n = 9814) were matched with 9814 patients using injection therapy. Pump therapy, compared with injection therapy, was associated with lower rates of severe hypoglycemia (9.55 vs 13.97 per 100 patient-years; difference, -4.42 [95% CI, -6.15 to -2.69]; P < .001) and diabetic ketoacidosis (3.64 vs 4.26 per 100 patient-years; difference, -0.63 [95% CI, -1.24 to -0.02]; P = .04). Glycated hemoglobin levels were lower with pump therapy than with injection therapy (8.04% vs 8.22%; difference, -0.18 [95% CI, -0.22 to -0.13], P < .001). Total daily insulin doses were lower for pump therapy compared with injection therapy (0.84 U/kg vs 0.98 U/kg; difference, -0.14 [-0.15 to -0.13], P < .001). There was no significant difference in body mass index between both treatment regimens. Similar results were obtained after propensity score inverse probability of treatment weighting analyses in the entire cohort. Conclusions and Relevance: Among young patients with type 1 diabetes, insulin pump therapy, compared with insulin injection therapy, was associated with lower risks of severe hypoglycemia and diabetic ketoacidosis and with better glycemic control during the most recent year of therapy. These findings provide evidence for improved clinical outcomes associated with insulin pump therapy compared with injection therapy in children, adolescents, and young adults with type 1 diabetes.",JAMA,2017 Oct 10,
Security of Text Messaging in Clinical Care-Reply.,"['Drolet, Brian C']","Drolet, Brian C",Vanderbilt University,"Drolet, Brian C",Vanderbilt University,,10,,JAMA,2017 Oct 10,
Elevated Brain Amyloid in Cognitively Normal Individuals-Reply.,"['Donohue, Michael C', 'Aisen, Paul S']","Donohue, Michael C",Keck School of Medicine of USC,"Aisen, Paul S","University of California, San Diego, School of Medicine",,76,,JAMA,2017 Oct 10,
The FAST Examination for Children With Abdominal Trauma-Reply.,"['Holmes, James F', 'Kelley, Kenneth M', 'Kuppermann, Nathan']","Holmes, James F",UC Davis School of Medicine,"Kuppermann, Nathan","University of California, Davis",,42,,JAMA,2017 Oct 10,
Elevated Brain Amyloid in Cognitively Normal Individuals.,"['Gao, Rui', 'Chen, Chan', 'Zhu, Tao']","Gao, Rui",Shanxi University,"Zhu, Tao",Chongqing University,,32,,JAMA,2017 Oct 10,
Security of Text Messaging in Clinical Care.,"['Choi, Brian G', 'Intner, Scott K']","Choi, Brian G",George Washington University School of Medicine and Health Sciences,"Intner, Scott K",George Washington University,,0,,JAMA,2017 Oct 10,
The FAST Examination for Children With Abdominal Trauma.,"['Marin, Jennifer R', 'Fields, J Matthew', 'Tayal, Vivek S']","Marin, Jennifer R",University of Pittsburgh School of Medicine,"Tayal, Vivek S",Carolinas Medical Center,,21,,JAMA,2017 Oct 10,
Effects of Behavioral Interventions on Inappropriate Antibiotic Prescribing in Primary Care 12 Months After Stopping Interventions.,"['Linder, Jeffrey A', 'Meeker, Daniella', 'Fox, Craig R', 'Friedberg, Mark W', 'Persell, Stephen D', 'Goldstein, Noah J', 'Doctor, Jason N']","Linder, Jeffrey A",Northwestern University Feinberg School of Medicine,"Doctor, Jason N",University of Southern California,,25,,JAMA,2017 Oct 10,"['R01 HS019913/HS/AHRQ HHS/United States', 'RC4 AG039115/AG/NIA NIH HHS/United States']"
Medicolegal: Illegal Prescribing of Intoxicating Liquor.,,,,,,,,,JAMA,2017 Oct 10,
Science and the Trump Administration.,"['Sharfstein, Joshua M']","Sharfstein, Joshua M",Johns Hopkins Bloomberg School of Public Health,"Sharfstein, Joshua M",Johns Hopkins Bloomberg School of Public Health,,17,,JAMA,2017 Oct 10,
Management of a Diabetic Foot.,"['Hart, Theodore', 'Milner, Ross', 'Cifu, Adam']","Hart, Theodore",University of Chicago,"Cifu, Adam",University of Chicago,,12,,JAMA,2017 Oct 10,
Gatekeeping Strategies for Avoiding False-Positive Results in Clinical Trials With Many Comparisons.,"['Yadav, Kabir', 'Lewis, Roger J']","Yadav, Kabir",Los Angeles County Harbor-UCLA Med Center,"Lewis, Roger J",Harbor-UCLA Medical Center,,42,,JAMA,2017 Oct 10,
Using Antimullerian Hormone to Predict Fertility.,"['Santoro, Nanette']","Santoro, Nanette",University of Colorado School of Medicine,"Santoro, Nanette",University of Colorado School of Medicine,,52,,JAMA,2017 Oct 10,
A Retinal Scan for Alzheimer Disease.,"['Abbasi, Jennifer']","Abbasi, Jennifer",Journal of American Medical Association,"Abbasi, Jennifer",Journal of American Medical Association,,4,,JAMA,2017 Oct 10,
Rapid Test for Antibiotic Susceptibility.,"['Abbasi, Jennifer']","Abbasi, Jennifer",Journal of American Medical Association,"Abbasi, Jennifer",Journal of American Medical Association,,4,,JAMA,2017 Oct 10,
Skin-like Wearable Health Monitors.,"['Abbasi, Jennifer']","Abbasi, Jennifer",Journal of American Medical Association,"Abbasi, Jennifer",Journal of American Medical Association,,4,,JAMA,2017 Oct 10,
Black Women in Medicine-A Documentary.,"['Manning, Kimberly D']","Manning, Kimberly D",Emory University School of Medicine,"Manning, Kimberly D",Emory University School of Medicine,,2,,JAMA,2017 Oct 10,
Addressing Population Health: Integrators in the Accountable Health Communities Model.,"['Billioux, Alexander', 'Conway, Patrick H', 'Alley, Dawn E']","Billioux, Alexander",Centers for Medicare and Medicaid Services,"Alley, Dawn E",Centers for Medicare and Medicaid Services,,31,,JAMA,2017 Nov 21,
Ten Steps the Federal Government Should Take Now to Reverse the Opioid Addiction Epidemic.,"['Kolodny, Andrew', 'Frieden, Thomas R']","Kolodny, Andrew",Brandeis University,"Frieden, Thomas R",Resolve to Save Lives,,54,,JAMA,2017 Oct 24,
Making a Case for Sanctuary Hospitals.,"['Saadi, Altaf', 'Ahmed, Sameer', 'Katz, Mitchell H']","Saadi, Altaf",Massachusetts General Hospital,"Katz, Mitchell H",New York City Health and Hospitals,,54,,JAMA,2017 Dec 5,
Contraceptive Coverage and the Balance Between Conscience and Access.,"['Stahl, Ronit Y', 'Lynch, Holly Fernandez']","Stahl, Ronit Y",University of Pennsylvania,"Lynch, Holly Fernandez",University of Pennsylvania,,6,,JAMA,2017 Dec 12,
